Array Size,Mean_Execution_Time,Std_Execution_Time,Mean_Comparisons,Std_Comparisons,Mean_Swaps,Std_Swaps
10000,0.0018,0.0,280455.8,167.5654,124149.5,60.9339
20000,0.0039,0.0,611148.8,272.8487,268346.3,130.1734
30000,0.0061,0.0,960563.4,381.7647,419912.6,98.0648
40000,0.0084,0.0,1322414.3,382.3344,576838.0,132.824
50000,0.0107,0.0,1693529.4,431.4027,737248.6,175.5703
60000,0.0131,0.0,2071161.6,295.0327,899793.7,142.7025
70000,0.0155,0.0,2455142.9,417.6672,1064805.7,182.7172
80000,0.0179,0.0,2844786.5,242.0199,1233607.7,145.2691
90000,0.0204,0.0,3239145.4,742.239,1403710.9,248.9344
100000,0.0229,0.0,3638294.0,461.7845,1574978.2,182.3676
