Array Size,Trial,Execution Time (seconds),Comparisons, Swaps
10000,1,0.002154,120466,133616
10000,2,0.002142,120440,133616
10000,3,0.002145,120499,133616
10000,4,0.002152,120419,133616
10000,5,0.002045,120540,133616
10000,6,0.001773,120430,133616
10000,7,0.001529,120352,133616
10000,8,0.001433,120566,133616
10000,9,0.001442,120510,133616
10000,10,0.001427,120365,133616
20000,1,0.003081,260924,287232
20000,2,0.003052,261063,287232
20000,3,0.003056,260912,287232
20000,4,0.003173,260881,287232
20000,5,0.003084,260889,287232
20000,6,0.003081,260875,287232
20000,7,0.003079,260976,287232
20000,8,0.003069,260925,287232
20000,9,0.003086,260989,287232
20000,10,0.003077,260997,287232
30000,1,0.004870,408736,447232
30000,2,0.004882,408641,447232
30000,3,0.004805,408475,447232
30000,4,0.004803,408754,447232
30000,5,0.004793,408555,447232
30000,6,0.004794,408648,447232
30000,7,0.004798,408437,447232
30000,8,0.004772,408648,447232
30000,9,0.004778,408400,447232
30000,10,0.004790,408590,447232
40000,1,0.006567,561662,614464
40000,2,0.006554,561834,614464
40000,3,0.006563,561682,614464
40000,4,0.006568,561690,614464
40000,5,0.006554,561693,614464
40000,6,0.006558,561747,614464
40000,7,0.006556,561852,614464
40000,8,0.006557,561924,614464
40000,9,0.006551,561821,614464
40000,10,0.006563,561665,614464
50000,1,0.008315,718149,784464
50000,2,0.008323,718151,784464
50000,3,0.008311,718251,784464
50000,4,0.008314,718293,784464
50000,5,0.008310,718183,784464
50000,6,0.008317,718192,784464
50000,7,0.008312,717939,784464
50000,8,0.008305,718242,784464
50000,9,0.008334,718132,784464
50000,10,0.008317,718166,784464
60000,1,0.010163,877190,954464
60000,2,0.010140,877443,954464
60000,3,0.010164,877182,954464
60000,4,0.010165,877305,954464
60000,5,0.010157,877153,954464
60000,6,0.010147,877145,954464
60000,7,0.010161,877185,954464
60000,8,0.010163,877338,954464
60000,9,0.010170,877254,954464
60000,10,0.010151,877071,954464
70000,1,0.012043,1038934,1128928
70000,2,0.012037,1039119,1128928
70000,3,0.012053,1038820,1128928
70000,4,0.012044,1038776,1128928
70000,5,0.012028,1038913,1128928
70000,6,0.012038,1039081,1128928
70000,7,0.012027,1039170,1128928
70000,8,0.012051,1038891,1128928
70000,9,0.012045,1038844,1128928
70000,10,0.012035,1038587,1128928
80000,1,0.013889,1203777,1308928
80000,2,0.013867,1203787,1308928
80000,3,0.013872,1203530,1308928
80000,4,0.013871,1203559,1308928
80000,5,0.013892,1203376,1308928
80000,6,0.013853,1203370,1308928
80000,7,0.013858,1203704,1308928
80000,8,0.013858,1203553,1308928
80000,9,0.013877,1203309,1308928
80000,10,0.013863,1203227,1308928
90000,1,0.015703,1369553,1488928
90000,2,0.015735,1369395,1488928
90000,3,0.015734,1369284,1488928
90000,4,0.015732,1369297,1488928
90000,5,0.015703,1369758,1488928
90000,6,0.015716,1369690,1488928
90000,7,0.015732,1369457,1488928
90000,8,0.015735,1369045,1488928
90000,9,0.015720,1369346,1488928
90000,10,0.015737,1369514,1488928
100000,1,0.017606,1536464,1668928
100000,2,0.017577,1536372,1668928
100000,3,0.017620,1536387,1668928
100000,4,0.017625,1536194,1668928
100000,5,0.017581,1535932,1668928
100000,6,0.017639,1536408,1668928
100000,7,0.017631,1536171,1668928
100000,8,0.017609,1536502,1668928
100000,9,0.017592,1536388,1668928
100000,10,0.017587,1536655,1668928
